INFO 2025-02-02 21:30:06,429 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-02 21:30:06,697 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\email\mime\__init__.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,697 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\glob.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,698 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1737630441.908481
DEBUG 2025-02-02 21:30:06,698 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\urls\converters.py first seen with mtime 1737630442.7911532
DEBUG 2025-02-02 21:30:06,699 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1737630442.8039055
DEBUG 2025-02-02 21:30:06,699 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\copyreg.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,699 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1737630441.527243
DEBUG 2025-02-02 21:30:06,700 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1737630442.6549563
DEBUG 2025-02-02 21:30:06,700 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\encodings\cp1252.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,701 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1737630442.7692912
DEBUG 2025-02-02 21:30:06,701 autoreload File C:\Proyectos\school_visits\school_visits_project\__init__.py first seen with mtime 1737630461.1127934
DEBUG 2025-02-02 21:30:06,702 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\sqlparse\utils.py first seen with mtime 1737630440.7221105
DEBUG 2025-02-02 21:30:06,702 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\DLLs\_sqlite3.pyd first seen with mtime 1733255892.0
DEBUG 2025-02-02 21:30:06,702 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\db\models\constants.py first seen with mtime 1737630442.7090578
DEBUG 2025-02-02 21:30:06,703 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1737630442.7060575
DEBUG 2025-02-02 21:30:06,703 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\html\entities.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,704 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\asyncio\sslproto.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,704 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\struct.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,704 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\forms\renderers.py first seen with mtime 1737630442.734058
DEBUG 2025-02-02 21:30:06,704 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1737630441.732783
DEBUG 2025-02-02 21:30:06,705 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\asyncio\selector_events.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,705 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\queue.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,705 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1737630442.6356008
DEBUG 2025-02-02 21:30:06,706 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1737630442.77529
DEBUG 2025-02-02 21:30:06,706 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1737630442.640602
DEBUG 2025-02-02 21:30:06,706 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1737630442.7841525
DEBUG 2025-02-02 21:30:06,707 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1737630442.6579556
DEBUG 2025-02-02 21:30:06,707 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1737630441.81405
DEBUG 2025-02-02 21:30:06,707 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\sysconfig\__init__.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,708 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\template\context.py first seen with mtime 1737630442.77429
DEBUG 2025-02-02 21:30:06,708 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\rest_framework\parsers.py first seen with mtime 1737630452.259141
DEBUG 2025-02-02 21:30:06,708 autoreload File C:\Proyectos\school_visits\visits\apps.py first seen with mtime 1737630461.702229
DEBUG 2025-02-02 21:30:06,709 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\rest_framework\apps.py first seen with mtime 1737630452.253138
DEBUG 2025-02-02 21:30:06,709 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\utils\connection.py first seen with mtime 1737630442.7951531
DEBUG 2025-02-02 21:30:06,709 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\core\files\locks.py first seen with mtime 1737630442.650606
DEBUG 2025-02-02 21:30:06,710 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\contenttypes\checks.py first seen with mtime 1737630441.908481
DEBUG 2025-02-02 21:30:06,710 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\rest_framework\fields.py first seen with mtime 1737630452.256141
DEBUG 2025-02-02 21:30:06,710 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1737630442.2742379
DEBUG 2025-02-02 21:30:06,711 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1737630442.6982152
DEBUG 2025-02-02 21:30:06,711 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\core\management\base.py first seen with mtime 1737630442.661461
DEBUG 2025-02-02 21:30:06,712 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1737630442.8079064
DEBUG 2025-02-02 21:30:06,712 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\rest_framework\schemas\openapi.py first seen with mtime 1737630452.3077073
DEBUG 2025-02-02 21:30:06,712 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\DLLs\_decimal.pyd first seen with mtime 1733255892.0
DEBUG 2025-02-02 21:30:06,713 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1737630441.530248
DEBUG 2025-02-02 21:30:06,713 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\rest_framework\schemas\generators.py first seen with mtime 1737630452.30644
DEBUG 2025-02-02 21:30:06,714 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\string.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,714 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1737630442.7841525
DEBUG 2025-02-02 21:30:06,714 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\template\response.py first seen with mtime 1737630442.77729
DEBUG 2025-02-02 21:30:06,715 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\utils\functional.py first seen with mtime 1737630442.7991521
DEBUG 2025-02-02 21:30:06,715 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1737630442.640602
DEBUG 2025-02-02 21:30:06,716 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\asyncio\coroutines.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,716 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\forms\utils.py first seen with mtime 1737630442.735057
DEBUG 2025-02-02 21:30:06,716 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\DLLs\_overlapped.pyd first seen with mtime 1733255892.0
DEBUG 2025-02-02 21:30:06,717 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1737630442.8109052
DEBUG 2025-02-02 21:30:06,717 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\hashlib.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,718 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\ssl.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,718 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1737630442.6794655
DEBUG 2025-02-02 21:30:06,718 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1737630442.7672906
